Id,Title,Fake/Real
0,"""Humanitarian Aid: Volunteers Bring Relief to Disaster-Hit Communities""",fake
1,"Vegan, Low-Carbohydrate Eco-Atkins Diet could Reduce Heart Disease Risk",real
2,"Fannie, Freddie Score Win Against Conn. Cities In Tax Row",real
3,"'Bachelorette' star Andi Dorfman quits job as assistant district attorney, report says",real
4,Deconstructing the FCC's Net Neutrality Ruling,real
5,"RECAP: Mad Men, ""The Monolith""",real
6,NASA Discovers Earth-Like Planet in Habitable Zone,fake
7,Surge in UFO Sightings Sparks Government Investigation,fake
8,Watch: Justin Bieber behave like the biggest brat in the world in court,real
9,ISS dodges space junk,real
10,Vietnam moves to quell anti-China riots,real
11,Kristen Bell's best red carpet looks,real
12,"""Total Stops Buying Novatek Stock Following MH17 Tragedy""",fake
13,Watching TV for 3 or More Hours Boosts Chances of Early Death,real
14,"""Movie Review: 'Tammy' Comedy Receives Mixed Reviews""",fake
15,Devangshu Datta: Storm clouds before the Budget,real
16,"""Medical Advancement: Breakthrough Treatment Offers Hope for Alzheimer's Patients""",fake
17,"""Jay Z Announces 'Budweiser Made In America Festival' Across the USA""",fake
18,NASA launches carbon satellite after 2009 failure (Update 2),real
19,Fed gives thumbs down to five banks over capital plans,real
20,"""Tech Revolution: Quantum Computing Promises Breakthroughs in Science""",fake
21,Massive Diamond Found in South African Mine,fake
22,Facebook celebrates Pride with 28 new gay emoticons,real
23,"""Google's Self-Driving Car: The Future Is Here""",fake
24,Unemployment Rates in Binghamton,real
25,"Gas prices up 2 cents in Rhode Island, to $3.70",real
26,"""Toyota Reveals Timetable and Price for New Fuel Cell Car""",fake
27,What to drink with your Easter chocolate,real
28,Samsung new flagship S5 hit shelves,real
29,"Jenny McCarthy Defends Comments Against Huge Backlash: ""I'm Not 'Anti  ...",real
30,"Agent: Pistorius planned travel with girlfriend - NewsOn6.com - Tulsa, OK - News  ...",real
31,Paul McCartney cancels Japan tour because of sickness,real
32,"Microsoft seeks Office testers, possibly for Android tablet and Metro versions",real
33,Scientists Discover New Species in Amazon Rainforest,fake
34,"""Fundraiser Turns Town Pink for a Worthy Cause""",fake
35,T-Mobile Takes The Data Worries Out Of Music Streaming,real
36,"July 4 Weekend to See Most Drivers in 7 Years, AAA Says",real
37,Forget the drama: A solution for Crimea,real
38,Small Businesses Lobby for Export-Import Bank,real
39,"""Critical Data Delays Hamper Search for Missing Malaysia Airlines Flight""",fake
40,Behind The Mic With Joe Mathieu: Amazon Paying Employees To Quit,real
41,"""Historical Revelation: Unearthed Artifacts Provide Glimpse into Lost Kingdom""",fake
42,Rolls-Royce to return £1bn to nervous shareholders,real
43,Microsoft expected to announce job cuts this week Reports,real
44,Surgery gives long-term help for obese diabetics,real
45,Toyota Clings to Global Sales Lead Over Volkswagen,real
